Ref,Package,Qty,Value,Digikey part number,Manufacturer part number
BT1,BatteryHolder_Keystone_2481_4xAAA,1,Battery,36-2481-ND,2481
"C10,C9,C1",CP_Radial_D5.0mm_P2.00mm,3,10uF,732-8856-1-ND,860020672010
C11,C_Disc_D3.8mm_W2.6mm_P2.50mm,1,47000pF,BC5153-ND,K473K15X7RF53L2
"C13,C12",CP_Radial_D6.3mm_P2.50mm,2,220uF,732-8634-1-ND,860010473011
C3,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,100pF,BC5223CT-ND,K101J10C0GF5UH5
C5,CP_Radial_D5.0mm_P2.00mm,1,1uF,732-8851-1-ND,860020672005
"C6,C4",C_Disc_D5.0mm_W2.5mm_P5.00mm,2,1000pF,BC2659CT-ND,K102K10X7RF5UH5
"C8,C7,C2",C_Disc_D5.1mm_W3.2mm_P5.00mm,3,0.1uF,478-2472-ND,SR215C104KAA
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,BAT41,497-2493-1-ND,BAT41
D2,LED_D5.0mm_Horizontal_O1.27mm_Z9.0mm,1,LED,C5SMF-RJF-CT0W0BB1-ND,C5SMF-RJF-CT0W0BB1
J1,MOLEX_0731713150,1,Conn_Coaxial,731713150,WM20430-ND
LS1,CLS0231MP-1_SPEAKER,1,Speaker,102-1543-ND,CLS0231MP-1
Q1,TO-92_Inline_Wide,1,2N4401,2N4401TFCT-ND,2N4401TF
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,100,CF14JT100RCT-ND,CF14JT100R
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,22k,CF14JT22K0CT-ND,CF14JT22K0
"R5,R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1M,RNF14FTD1M00CT-ND,RNF14FTD1M00
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1k,CF14JT1K00CT-ND,CF14JT1K00
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1.3k,1.30KXBK-ND,MFR-25FBF52-1K3
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10,CF18JT10R0CT-ND,CF18JT10R0
"R9,R1",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,10k,CF14JT10K0CT-ND,CF14JT10K0
RV1,Potentiometer_Bourns_PTV09A-2_Single_Horizontal,1,10k_pot,PTV09A-2020F-A103-ND,PTV09A-2020F-A103
"SW2,SW1",‎EG1206‎_SLIDE_SWITCH,2,SW_SPST,EG1916-ND,EG1206
U1,DIP-8_W7.62mm,1,LM386,296-44414-5-ND,LM386N-1/NOPB
